birth_state,id,player_num
AK,2,12
AL,1,342
AR,5,161
AZ,4,121
CA,6,2341
CO,8,96
CT,9,184
DC,11,82
DE,10,54
FL,12,582
GA,13,394
HI,15,47
IA,19,214
ID,16,30
IL,17,1041
IN,18,366
KS,20,215
KY,21,272
LA,22,260
MA,25,619
MD,24,278
ME,23,72
MI,26,428
MN,27,165
MO,29,567
MS,28,213
MT,30,26
NC,37,423
ND,38,19
NE,31,113
NH,33,52
NJ,34,423
NM,35,30
NV,32,47
NY,36,1132
OH,39,975
OK,40,271
OR,41,138
PA,42,1311
RI,44,70
SC,45,198
SD,46,39
TN,47,321
TX,48,957
UT,49,40
VA,51,295
VT,50,33
WA,53,212
WI,55,238
WV,54,118
WY,56,15
